

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
09/10/2026,YOU BOUGHT ROBINHOOD MKTS INC COM CL A (HOOD) (Cash),HOOD,ROBINHOOD MKTS INC COM CL A,Cash,112.17,0.583,"","","","-65.4",1778.88,09/11/2026
09/10/2026,YOU BOUGHT QUALYS INC COM USD0.001 (QLYS) (Cash),QLYS,QUALYS INC COM USD0.001,Cash,165.86,0.394,"","","","-65.35",1844.28,09/11/2026
09/10/2026,YOU SOLD OSCAR HEALTH INC CL A (OSCR) (Cash),OSCR,OSCAR HEALTH INC CL A,Cash,32.71,"-2","","","",65.42,1909.63,09/11/2026
09/10/2026,YOU SOLD OKTA INC CL A (OKTA) (Cash),OKTA,OKTA INC CL A,Cash,177.25,"-1","","","",177.25,1844.21,09/11/2026
09/10/2026,YOU BOUGHT HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,Cash,57.16,1,"","","","-57.16",1666.96,09/11/2026
09/10/2026,YOU BOUGHT ARISTA NETWORKS INC COM SHS (ANET) (Cash),ANET,ARISTA NETWORKS INC COM SHS,Cash,188.29,0.7,"","","","-131.8",1724.12,09/11/2026
09/10/2026,YOU BOUGHT AFFIRM HOLDINGS INC CLASS A COMMON STOCK (AFRM) (Cash),AFRM,AFFIRM HOLDINGS INC CLASS A COMMON STOCK,Cash,66.53,1,"","","","-66.53",1855.92,09/11/2026
09/09/2026,YOU BOUGHT SAMSARA INC COM CL A (IOT) (Cash),IOT,SAMSARA INC COM CL A,Cash,37.83,1,"","","","-37.83",1922.45,09/10/2026
09/09/2026,YOU BOUGHT SAMSARA INC COM CL A (IOT) (Cash),IOT,SAMSARA INC COM CL A,Cash,39.14,1,"","","","-39.14",1960.28,09/10/2026
09/09/2026,YOU BOUGHT SAMSARA INC COM CL A (IOT) (Cash),IOT,SAMSARA INC COM CL A,Cash,39.14,0.217,"","","","-8.49",1999.42,09/10/2026
09/09/2026,YOU BOUGHT OSCAR HEALTH INC CL A (OSCR) (Cash),OSCR,OSCAR HEALTH INC CL A,Cash,32.18,1,"","","","-32.18",2007.91,09/10/2026
09/09/2026,YOU BOUGHT OSCAR HEALTH INC CL A (OSCR) (Cash),OSCR,OSCAR HEALTH INC CL A,Cash,32.18,0.48,"","","","-15.45",2040.09,09/10/2026
09/09/2026,YOU SOLD HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,Cash,58.49,"-3","","","",175.47,2055.54,09/10/2026
09/09/2026,YOU SOLD HEWLETT PACKARD ENTERPRISE CO COM (HPE) (Cash),HPE,HEWLETT PACKARD ENTERPRISE CO COM,Cash,57.22,"-4","","","",228.88,1880.07,09/10/2026
